urm_id,level,section,title,statement,togaf_domain,standard,internal_source,status,map_epic_section,map_togaf_artifact,map_apqc_pcf,map_iso,map_local_1,map_local_2,notes
EgD-URM-3,1,3,Narrative Canon and Provenance,"What the story is allowed to assert, and on whose authority.",,,,,,,,,,,
EgD-URM-3.1,2,3.1,Claim classification,"Every narrative claim is tagged record, inference, lore, or author framing. Untagged claims do not ship.",Data,,projects/acadian-heritage-record,Canon,,,,,,,
EgD-URM-3.2,2,3.2,Source-tagged corpus,Narrative source material carries citations to primary sources and records its own corrections.,Data,,projects/ark-peer-review-ledger,Canon,,,,,,,
EgD-URM-3.3,2,3.3,Bounded Enoch adaptation,"Only the Astronomical Book, 1 Enoch 72-82, is adapted, for calendar and heritage mechanics. Judgment and Watchers material is excluded from the main path.",Data,,projects/acadian-heritage-record,Canon,,,,,,,
EgD-URM-3.4,2,3.4,Heritage chapter line,Acadian survival-and-rebuild chapters use the defensible 1636-1650 Port-Royal arrival range and make no oldest-site claim.,Data,,projects/acadian-heritage-record,Canon,,,,,,,
EgD-URM-3.5,2,3.5,Narrator character bench,Uriel is the child-facing companion. Penemue is reserved for a truth-ledger lane. Valentinian Sophia is excluded in favour of Proverbs-Wisdom.,Data,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-3.6,2,3.6,Copyright-limited corpus handling,Public-domain texts are stored in full; copyrighted editions are represented bibliographically only.,Data,,projects/enoch-convergence,Canon,,,,,,,
EgD-URM-3.7,2,3.7,Worldbuilding boundary,"Ideal-world and double-sphere imagery is framed as imagination, never as a prescriptive real-world claim.",Business,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-3.8,2,3.8,Convergence labelling,"Overlaps between sources are marked direct, structural or speculative, and non-convergences are recorded too.",Data,,projects/enoch-convergence,Canon,,,,,,,
EgD-URM-4,1,4,Learning Design,The teaching model the game exists to carry.,,,,,,,,,,,
EgD-URM-4.1,2,4.1,"Education parent, religion subsection",The parent programme is education; religious education is one part of it.,Business,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-4.2,2,4.2,Fixed-output catechetical path,"Catechetical answers are reviewed and deterministic, never open-ended generation.",Application,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-4.3,2,4.3,Lesson primitives,"Circle, triangle and sphere are the base geometric lesson objects the mechanics build on.",Data,,projects/eve-hyperloop,Canon,,,,,,,
EgD-URM-4.4,2,4.4,Chapter and progression model,Content is delivered as numbered chapters with an explicit unlock rule.,Data,,projects/eve-hyperloop,Canon,,,,,,,
EgD-URM-4.5,2,4.5,Service-and-evidence credibility,"Standing is earned through evidenced help to others, not follower counts, streaks or engagement.",Application,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-4.6,2,4.6,Assessment and mastery evidence,"Progress is evidenced by artefacts the learner produced, not time on task.",Data,,projects/starship-academy-training-series,Proposed,,,,,,,
EgD-URM-4.7,2,4.7,Game as doorway,"The game lowers the entry barrier; education, the twin and free choice remain the process it carries.",Business,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-5,1,5,Identity and Digital Twin,"Who the player is to the system, and what the system owes them.",,,,,,,,,,,
EgD-URM-5.1,2,5.1,Starter-twin quest,"Onboarding is request access, authenticate, fork a starter twin, connect everyday tools.",Application,,projects/eve-hyperloop,Canon,,,,,,,
EgD-URM-5.2,2,5.2,Three doors,"Humans enter as Mother, Child or Father; institutions are sorted separately as electric utility, other utility, or enterprise.",Business,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-5.3,2,5.3,Consent-first protection message,"The first cross-cultural message is protection, not capability.",Business,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-5.4,2,5.4,Soft identification tier,Adult surfaces let the reader start freely and ask for identity only after meaningful engagement.,Application,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-5.5,2,5.5,Twin ownership and portability,The twin's data belongs to the person and can be exported without permission from the platform.,Data,,concepts/sovereign-data-rights,Canon,,,,,,,
EgD-URM-5.6,2,5.6,Authentication backend,Identity verification runs through a named backend rather than hard-coded logic.,Application,,projects/starship-academy-training-series,Proposed,,,,,,,
EgD-URM-6,1,6,World and Level Structure,How space is described so every chapter is built the same way.,,,,,,,,,,,
EgD-URM-6.1,2,6.1,Scene graph contract,"One scene per chapter, one root per scene, no cross-scene node paths.",Application,glTF 2.0 scene graph,projects/eve-hyperloop,Canon,,,,,,,
EgD-URM-6.2,2,6.2,Metric ground plane,Units are metres. The floor's top surface sits at y = 0 and a character's origin is at its feet.,Data,,EgD-GDS-001,Canon,,,,,,,
EgD-URM-6.3,2,6.3,Chapter world inventory,"Each chapter declares its geometry, interactables, spawn points and exits as data before it is built.",Data,,projects/eve-hyperloop,Proposed,,,,,,,
EgD-URM-6.4,2,6.4,The Village,"A shared, voice-first common surface bounded by the child's school or cohort, with no feed-style global discovery.",Application,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-6.5,2,6.5,Navigation and blocking volumes,"Walkable area and blocked area are authored explicitly, not inferred from visual geometry.",Application,,EgD-GDS-001,Canon,,,,,,,
EgD-URM-6.6,2,6.6,Browser scene budget,"Visible polygon count stays under roughly 50,000 and textures under 1024 px for the browser lane.",Technology,,EgD-URM-11.1,Canon,,,,,,,
EgD-URM-7,1,7,Interaction and Control,The contract between the player's hands and the world.,,,,,,,,,,,
EgD-URM-7.1,2,7.1,Named input actions,"Code binds to named actions such as move_forward, never to raw key codes. This buys gamepad support and rebinding for free.",Application,,EgD-GDS-001,Canon,,,,,,,
EgD-URM-7.2,2,7.2,Camera-relative movement,Forward means away from the camera. Input is rotated by the camera rig's basis before it becomes velocity.,Application,,EgD-GDS-001,Canon,,,,,,,
EgD-URM-7.3,2,7.3,Split camera rig,"Yaw lives on a rig node, pitch lives on a spring arm, so rotations cannot interfere and the camera cannot roll or clip walls.",Application,,EgD-GDS-001,Canon,,,,,,,
EgD-URM-7.4,2,7.4,Feel constants as contract,"SPEED, ACCEL and TURN_SPEED are published tunables. Defaults are 5.5 m/s, 60, and 12.",Application,,EgD-GDS-001,Canon,,,,,,,
EgD-URM-7.5,2,7.5,Voice-first village interaction,"Movement and voice are the primary interaction metaphor in the common surface, not text entry.",Application,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-7.6,2,7.6,Touch and gamepad parity,Every action reachable by keyboard is reachable by touch and by gamepad.,Application,,EgD-URM-15.4,Proposed,,,,,,,
EgD-URM-8,1,8,Simulation and Rules,What the world does when nobody is pressing anything.,,,,,,,,,,,
EgD-URM-8.1,2,8.1,Fixed-tick simulation,Game logic advances on a fixed physics tick independent of frame rate.,Application,,projects/carbon-intake,Canon,,,,,,,
EgD-URM-8.2,2,8.2,Sequenced actions,"Multi-frame actions such as a sword swing, a cutscene or a boss phase are written as coroutines, not state-machine sprawl.",Application,,projects/carbon-intake,Canon,,,,,,,
EgD-URM-8.3,2,8.3,Interaction volumes and timed windows,Hits and triggers use explicit volumes enabled for an explicit number of frames.,Application,,EgD-GDS-001,Canon,,,,,,,
EgD-URM-8.4,2,8.4,Deterministic puzzle state,Puzzle outcomes are reproducible from recorded input; no hidden randomness in assessed content.,Application,,projects/eve-hyperloop,Canon,,,,,,,
EgD-URM-8.5,2,8.5,Lossy-save assumption,Browser storage is assumed to be unreliable. Progress that matters is recoverable from the server or re-earnable.,Data,,EgD-URM-11.1,Canon,,,,,,,
EgD-URM-9,1,9,Presentation and Audio,"How it looks and sounds, bounded by the delivery target.",,,,,,,,,,,
EgD-URM-9.1,2,9.1,Renderer profile,Browser lane runs WebGL 2.0 with a compatibility-class renderer. Advanced deferred rendering is native-lane only.,Technology,WebGL 2.0,EgD-URM-11.2,Canon,,,,,,,
EgD-URM-9.2,2,9.2,Lighting and tonemap profile,"One directional key light with shadows, AgX tonemapping, ambient contribution from sky.",Technology,,EgD-GDS-001,Canon,,,,,,,
EgD-URM-9.3,2,9.3,Palette and typography canon,"Cream #fdfaf4, cream-2 #f7f2e7, ink #1a1a1a, line #e7e1d3, mute #6b665c, accent orange #e87722. Fraunces display, Inter body.",Business,,concepts/eve-glyph-design-system,Canon,,,,,,,
EgD-URM-9.4,2,9.4,UI shell and HUD,Chrome is minimal during play; the safety timer and chapter title are the only persistent elements.,Application,,projects/paix-educational-game,Proposed,,,,,,,
EgD-URM-9.5,2,9.5,Audio ceiling,No more than eight to ten simultaneous audio streams in the browser lane; fewer on mobile.,Technology,Web Audio API,EgD-URM-11.1,Canon,,,,,,,
EgD-URM-10,1,10,Asset Pipeline and Open Standards,The interchange contract. This is the layer that makes the work portable.,,,,,,,,,,,
EgD-URM-10.1,2,10.1,glTF 2.0 as the interchange format,"Every 3D asset and scene crosses tool boundaries as glTF 2.0, binary .glb preferred. This is the published ISO standard and the lowest common denominator across engines.",Data,ISO/IEC 12113:2022,Khronos,Canon,,,,,,,
EgD-URM-10.2,2,10.2,Texture container,"Textures ship as KTX2 with Basis Universal supercompression where the runtime supports it, PNG otherwise.",Data,"KTX 2.0, KHR_texture_basisu",Khronos,Proposed,,,,,,,
EgD-URM-10.3,2,10.3,Resolution and budget ceiling,1024 px texture ceiling for the browser lane; 2048 permitted native.,Technology,,EgD-URM-6.6,Canon,,,,,,,
EgD-URM-10.4,2,10.4,Naming and folder convention,"Assets are named by chapter and role, not by author or date.",Data,,concepts/github-as-durable-asset,Proposed,,,,,,,
EgD-URM-10.5,2,10.5,Asset provenance register,"Every imported asset records source URL, licence, and pinned commit or version.",Data,,projects/carbon-intake,Canon,,,,,,,
EgD-URM-10.6,2,10.6,Authoring toolchain,"Blender for modelling, an open engine for scene assembly, both exporting glTF. No proprietary interchange format in the chain.",Technology,,Khronos,Canon,,,,,,,
EgD-URM-11,1,11,"Platform, Build and Delivery",How it becomes a URL.,,,,,,,,,,,
EgD-URM-11.1,2,11.1,Browser baseline,"The delivery target is a modern browser with WebAssembly and WebGL 2.0. No installer, no store, no plugin.",Technology,"WebAssembly, WebGL 2.0",W3C,Canon,,,,,,,
EgD-URM-11.2,2,11.2,Two-lane engine strategy,"A WebGL-2 web runtime is the public lane; a full desktop engine is the authoring and native lane. glTF is the seam between them, so neither lane owns the content.",Technology,,EgD-URM-10.1,Decision,,,,,,,
EgD-URM-11.3,2,11.3,Hosting profile,GitHub Pages by default. Cross-origin isolation headers are required only if the runtime uses shared-memory threading.,Technology,"COOP, COEP",EgD-URM-11.1,Canon,,,,,,,
EgD-URM-11.4,2,11.4,Reproducible build,"Build artefacts are produced by a committed script from a pinned toolchain, never by hand.",Technology,,projects/eve-glyph-boot-contract,Canon,,,,,,,
EgD-URM-11.5,2,11.5,Public URL as deliverable,"Work exists when it is committed, pushed, and fetched successfully from its public URL.",Business,,projects/eve-glyph-boot-contract,Canon,,,,,,,
EgD-URM-12,1,12,"Data, Telemetry and Privacy","What is recorded, and what is deliberately not.",,,,,,,,,,,
EgD-URM-12.1,2,12.1,No trackers on the child surface,"No analytics, advertising identifiers or third-party beacons on any child-facing page.",Technology,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-12.2,2,12.2,Local-first state,Play state stays on the device unless the player chooses to sync it.,Data,,concepts/sovereign-data-rights,Canon,,,,,,,
EgD-URM-12.3,2,12.3,Adult review-signal logging,"Engagement and review signals are logged on adult outreach surfaces only, and disclosed there.",Data,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-12.4,2,12.4,Retention and deletion,Every stored field has a stated retention period and a working deletion path.,Data,,concepts/sovereign-data-rights,Proposed,,,,,,,
EgD-URM-12.5,2,12.5,"Witnessed, not surveilled",Visibility to a trusted adult is the privacy metaphor; continuous monitoring is not.,Business,,projects/victoria-digital-twin-training-surface,Canon,,,,,,,
EgD-URM-13,1,13,Integration and Interoperability,How this model plugs into everything else you own.,,,,,,,,,,,
EgD-URM-13.1,2,13.1,Knowledge-graph surface,"Narrative, lesson and progress entities are exposed as a temporal knowledge graph rather than locked in the build.",Data,,projects/origin-labs-consolidation,Proposed,,,,,,,
EgD-URM-13.2,2,13.2,Agent-tool surface,The graph is exposed over a standard agent-tool protocol so external assistants can read it.,Application,MCP,projects/origin-labs-consolidation,Proposed,,,,,,,
EgD-URM-13.3,2,13.3,Portal embedding,The playable embeds inside the parish or institution portal rather than living as a standalone secular surface.,Application,,projects/parish-sovereign-gateway,Canon,,,,,,,
EgD-URM-13.4,2,13.4,Crosswalk registry,Every section number here carries a crosswalk row to external reference models. Repeating one field into many target models is expected and permitted.,Data,,EgD-URM-13.5,Canon,,,,,,,
EgD-URM-13.5,2,13.5,Lowest-denominator rule,"Where two external models disagree, this model holds the simpler shape and maps upward, never downward.",Business,,EgD-URM-13.4,Canon,,,,,,,
EgD-URM-14,1,14,Operations and Lifecycle,Keeping it alive and affordable.,,,,,,,,,,,
EgD-URM-14.1,2,14.1,Repository as the record,The session is a scratchpad. Anything that matters is recoverable by cloning the repository and nothing else.,Business,,projects/eve-glyph-boot-contract,Canon,,,,,,,
EgD-URM-14.2,2,14.2,Release gates,"Church review, safety review, accessibility check and a fetched public URL all pass before a release is called done.",Business,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-14.3,2,14.3,Self-healing log,"Decisions and corrections are captured as committed log entries, not left in chat.",Business,,projects/eve-hyperloop,Canon,,,,,,,
EgD-URM-14.4,2,14.4,Cost control,Spend is measured against a declared daily control before expensive work is authorised.,Business,,projects/eve-glyph-boot-contract,Canon,,,,,,,
EgD-URM-14.5,2,14.5,Peer-review intake,A public front door collects parent and peer feedback and routes it to a named channel.,Business,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-15,1,15,Accessibility and Localisation,Who can actually play it.,,,,,,,,,,,
EgD-URM-15.1,2,15.1,Contrast and focus,Text and interactive elements meet published contrast and keyboard-focus guidance.,Application,WCAG 2.2,W3C,Proposed,,,,,,,
EgD-URM-15.2,2,15.2,Seated accommodation,"Every physical prompt, including the Stand-Up, has a seated equivalent.",Application,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-15.3,2,15.3,Language set,"English, French and Spanish are first-class. Strings are externalised, never embedded in scenes.",Data,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-15.4,2,15.4,Low-end device profile,A named minimum device and connection profile is tested each release.,Technology,,EgD-URM-11.1,Proposed,,,,,,,
EgD-URM-15.5,2,15.5,Reading-level control,"Child-facing text is held to a stated reading level and checked, not assumed.",Business,,projects/eve-glyph-education,Proposed,,,,,,,
